"filename", "language", "C++", "YAML", "HTML", "Markdown", "JSON", "Swift", "Dart", "XML", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\data\coffe_shop_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 3, 4, 88
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\data\coffee_shop_stores.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 0, 27
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\data\map_page_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 1, 10
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\data\news_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 1, 4, 108
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\firebase\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 12, 6, 81
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 6, 48
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\model\cart_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 8, 11, 66
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\app_pages\cart_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 233, 0, 0, 0, 6, 4, 243
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\app_pages\coffee_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 4, 6, 171
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\app_pages\coffee_shops_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 14, 5, 204
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\app_pages\home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 13, 6, 109
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\app_pages\main_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 4, 11, 126
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\app_pages\map_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 8, 10, 242
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\app_pages\order_confirmation_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 238, 0, 0, 0, 5, 4, 247
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\app_pages\order_history.dart", "Dart", 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 5, 8, 185
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\app_pages\parking_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 11, 5, 137
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\sign_in_up_pages\authentication_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 6, 3, 31
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\sign_in_up_pages\login_or_register.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 7, 6, 39
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\sign_in_up_pages\login_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 223, 0, 0, 0, 17, 18, 258
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\pages\sign_in_up_pages\register_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 223, 0, 0, 0, 22, 16, 261
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\services\auth_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 6, 8, 44
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\stored_data\user_history.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 3, 7, 46
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\themes\my_themes.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 3, 18
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\lib\themes\theme_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 5, 28
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\linux\my_application.cc", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 4, 23
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
